,texto
3087,He told me right out before everybody. It was horrible! Why is your friendship so fatal to young men? There was
3088,that wretched boy in the Guards who committed suicide. You were his great friend. There was Sir Henry
3089,"Ashton, who had to leave England with a tarnished name. You and he were inseparable. What about Adrian"
3090,Singleton and his dreadful end? What about Lord Kent’s only son and his career? I met his father yesterday in
3091,St. James’s Street. He seemed broken with shame and sorrow. What about the young Duke of Perth? What sort
3092,of life has he got now? What gentleman would associate with him?”
3093,"“Stop, Basil. You are talking about things of which you know nothing,” said Dorian Gray, biting his lip, and"
3094,with a note of inﬁnite contempt in his voice. “You ask me why Berwick leaves a room when I enter it. It is
3095,"because I know everything about his life, not because he knows anything about mine. With such blood as he"
3096,"has in his veins, how could his record be clean? You ask me about Henry Ashton and young Perth. Did I teach"
3097,"the one his vices, and the other his debauchery? If Kent’s silly son takes his wife from the streets, what is that to"
3098,"me? If Adrian Singleton writes his friend’s name across a bill, am I his keeper? I know how people chatter in"
3099,"England. The middle classes air their moral prejudices over their gross dinner-tables, and whisper about what"
3100,they call the proﬂigacies of their betters in order to try and pretend that they are in smart society and on intimate
3101,"terms with the people they slander. In this country, it is enough for a man to have distinction and brains for every"
3102,"common tongue to wag against him. And what sort of lives do these people, who pose as being moral, lead"
3103,"themselves? My dear fellow, you forget that we are in the native land of the hypocrite.”"
3104,"“Dorian,” cried Hallward, “that is not the question. England is bad enough I know, and English society is all"
3105,wrong. That is the reason why I want you to be ﬁne. You have not been ﬁne. One has a right to judge of a man
3106,"by the eﬀect he has over his friends. Yours seem to lose all sense of honour, of goodness, of purity. You have"
3107,filled them with a madness for pleasure. They have gone down into the depths. You led them there. Yes: you led
3108,"them there, and yet you can smile, as you are smiling now. And there is worse behind. I know you and Harry are"
3109,"inseparable. Surely for that reason, if for none other, you should not have made his sister’s name a by-word.”"
3110,"“Take care, Basil. You go too far.”"
3111,"“I must speak, and you must listen. You shall listen. When you met Lady Gwendolen, not a breath of scandal"
3112,had ever touched her. Is there a single decent woman in London now who would drive with her in the park?
3113,"Why, even her children are not allowed to live with her. Then there are other stories—stories that you have"
3114,been seen creeping at dawn out of dreadful houses and slinking in disguise into the foulest dens in London. Are
3115,"they true? Can they be true? When I ﬁrst heard them, I laughed. I hear them now, and they make me shudder."
3116,"What about your country-house and the life that is led there? Dorian, you don’t know what is said about you. I"
3117,won’t tell you that I don’t want to preach to you. I remember Harry saying once that every man who turned
3118,"himself into an amateur curate for the moment always began by saying that, and then proceeded to break his"
3119,word. I do want to preach to you. I want you to lead such a life as will make the world respect you. I want you to
3120,have a clean name and a fair record. I want you to get rid of the dreadful people you associate with. Don’t shrug
3121,"your shoulders like that. Don’t be so indiﬀerent. You have a wonderful inﬂuence. Let it be for good, not for evil."
3122,"They say that you corrupt every one with whom you become intimate, and that it is quite suﬃcient for you to"
3123,enter a house for shame of some kind to follow after. I don’t know whether it is so or not. How should I know?
3124,But it is said of you. I am told things that it seems impossible to doubt. Lord Gloucester was one of my greatest
3125,friends at Oxford. He showed me a letter that his wife had written to him when she was dying alone in her villa
3126,at Mentone. Your name was implicated in the most terrible confession I ever read. I told him that it was absurd—
3127,"that I knew you thoroughly, and that you were incapable of anything of the kind. Know you? I wonder do I know"
3128,"you? Before I could answer that, I should have to see your soul.”"
3129,"“To see my soul!” muttered Dorian Gray, starting up from the sofa and turning almost white from fear."
3130,"“Yes,” answered Hallward gravely, and with deep-toned sorrow in his voice, “to see your soul. But only God"
3131,can do that.”
3132,"A bitter laugh of mockery broke from the lips of the younger man. “You shall see it yourself, to-night!” he cried,"
3133,seizing a lamp from the table. “Come: it is your own handiwork. Why shouldn’t you look at it? You can tell the
3134,"world all about it afterwards, if you choose. Nobody would believe you. If they did believe you, they would like"
3135,"me all the better for it. I know the age better than you do, though you will prate about it so tediously. Come, I tell"
3136,you. You have chattered enough about corruption. Now you shall look on it face to face.”
3137,There was the madness of pride in every word he uttered. He stamped his foot upon the ground in his boyish
3138,"insolent manner. He felt a terrible joy at the thought that some one else was to share his secret, and that the"
3139,man who had painted the portrait that was the origin of all his shame was to be burdened for the rest of his life
3140,with the hideous memory of what he had done.
3141,"“Yes,” he continued, coming closer to him and looking steadfastly into his stern eyes, “I shall show you my"
3142,soul. You shall see the thing that you fancy only God can see.”
3143,"Hallward started back. “This is blasphemy, Dorian!” he cried. “You must not say things like that. They are"
3144,"horrible, and they don’t mean anything.”"
3145,“You think so?” He laughed again.
3146,"“I know so. As for what I said to you to-night, I said it for your good. You know I have been always a stanch"
3147,friend to you.”
3148,“Don’t touch me. Finish what you have to say.”
3149,"A twisted ﬂash of pain shot across the painter’s face. He paused for a moment, and a wild feeling of pity"
